
------------GKM DNS-DHIT-----------
N    =  63x63x63
M    =  0.3
k0   =  4
------------Reference TKE-----------

Time   TKE
0       1.0000093
_______________________________________________________

-------Tracking Turbulence Statistics-------------

Time  	      TKE   		PRMS
________________________________________________________
0.00012247449   0.99995536    3.8875605e-05
0.00024494898   0.99991125    7.7693614e-05
0.00036742346   0.99986696    0.00011655092
0.00048989797   0.99982262    0.00015545894
0.00061237247   0.99977875    0.00019442965
0.00073484698   0.9997344    0.00023350402
0.00085732149   0.99969023    0.00027270656
0.00097979594   0.99964613    0.00031206693
0.0011022704   0.99960124    0.00035160847
0.0012247449   0.9995575    0.0003913657
0.0013472195   0.99951375    0.00043135346
0.001469694   0.99946934    0.00047160609
0.0015921685   0.99942499    0.00051214534
0.001714643   0.99938095    0.00055300421
0.0018371175   0.99933654    0.00059420499
0.0019595919   0.99929219    0.00063577382
0.0020820664   0.99924821    0.00067773339
0.0022045409   0.99920398    0.00072010804
0.0023270154   0.99915987    0.00076292222
0.0024494899   0.99911541    0.00080620212
0.0025719644   0.99907124    0.00084996951
0.0026944389   0.99902683    0.00089424226
0.0028169134   0.99898303    0.00093904452
0.0029393879   0.9989391    0.00098440889
0.0030618624   0.99889421    0.0010303358
0.0031843369   0.99885112    0.001076859
0.0033068114   0.9988063    0.0011239965
0.0034292859   0.99876231    0.0011717725
0.0035517605   0.9987179    0.0012201947
0.003674235   0.9986735    0.0012692881
0.0037967095   0.99862927    0.001319074
0.0039191837   0.99858493    0.0013695646
0.0040416582   0.99854052    0.0014207822
0.0041641323   0.99849689    0.0014727265
0.0042866068   0.99845243    0.0015254312
0.0044090808   0.99840826    0.0015789083
0.0045315553   0.99836427    0.0016331658
0.0046540294   0.99832004    0.0016882248
0.0047765039   0.99827617    0.0017440963
0.0048989779   0.99823171    0.0018007925
0.0050214524   0.99818742    0.0018583279
0.0051439265   0.99814332    0.0019167154
0.005266401   0.99809891    0.0019759648
0.005388875   0.99805516    0.0020360881
0.0055113495   0.99801093    0.0020970963
0.0056338236   0.99796677    0.002158999
0.0057562981   0.9979223    0.0022218099
0.0058787726   0.99787861    0.0022855375
0.0060012466   0.99783421    0.0023501897
0.0061237211   0.99779046    0.0024157767
0.0062461952   0.99774587    0.0024823055
0.0063686697   0.99770129    0.0025497866
0.0064911437   0.99765742    0.0026182274
0.0066136182   0.99761343    0.0026876365
0.0067360923   0.99756968    0.0027580205
0.0068585668   0.99752527    0.0028293838
0.0069810408   0.99748111    0.0029017376
0.0071035153   0.99743688    0.0029750864
0.0072259894   0.99739254    0.0030494367
0.0073484639   0.99734849    0.0031247912
0.0074709379   0.99730414    0.0032011629
0.0075934124   0.99725997    0.0032785484
0.0077158865   0.99721593    0.0033569594
0.007838361   0.99717242    0.0034364013
0.0079608364   0.99712753    0.0035168706
0.0080833109   0.99708319    0.0035983806
0.0082057854   0.99703962    0.0036809305
0.0083282599   0.99699509    0.003764529
0.0084507354   0.99695104    0.0038491758
0.0085732099   0.9969064    0.0039348775
0.0086956844   0.99686253    0.0040216339
0.0088181589   0.99681813    0.0041094529
0.0089406343   0.99677438    0.0041983346
0.0090631088   0.99673033    0.0042882804
0.0091855833   0.99668598    0.0043792976
0.0093080578   0.99664193    0.0044713886
0.0094305333   0.99659783    0.0045645558
0.0095530078   0.99655354    0.0046587996
0.0096754823   0.99650937    0.0047541223
0.0097979568   0.99646527    0.0048505282
0.0099204322   0.99642122    0.0049480172
0.010042907   0.99637699    0.0050465944
0.010165381   0.99633265    0.005146259
0.010287856   0.99628872    0.0052470122
0.010410331   0.99624425    0.0053488598
0.010532806   0.99620026    0.005451797
0.01065528   0.9961561    0.0055558309
0.010777755   0.99611199    0.0056609605
0.01090023   0.99606794    0.0057671871
