
------------GKM DNS-DHIT-----------
N    =  63x63x63
M    =  0.3
k0   =  4
------------Reference TKE-----------

Time   TKE
0       1
_______________________________________________________

-------Tracking Turbulence Statistics-------------

Time  	      TKE   		PRMS
________________________________________________________
0.00012247449   0.99995576    3.8851696e-05
0.00024494897   0.99991151    7.7692188e-05
0.00036742346   0.99986727    0.00011654947
0.00048989795   0.99982304    0.00015545152
0.00061237244   0.9997788    0.00019442625
0.00073484692   0.99973457    0.00023350149
0.00085732141   0.99969034    0.00027270494
0.0009797959   0.99964611    0.00031206413
0.0011022704   0.99960188    0.00035160642
0.0012247449   0.99955766    0.00039135894
0.0013472194   0.99951343    0.00043134857
0.0014696938   0.99946921    0.00047160191
0.0015921683   0.99942499    0.00051214525
0.0017146428   0.99938077    0.00055300455
0.0018371173   0.99933656    0.00059420541
0.0019595918   0.99929235    0.00063577303
0.0020820663   0.99924814    0.00067773224
0.0022045408   0.99920393    0.00072010742
0.0023270153   0.99915972    0.00076292251
0.0024494897   0.99911551    0.00080620101
0.0025719642   0.99907131    0.00084996592
0.0026944387   0.99902711    0.00089423977
0.0028169132   0.99898291    0.00093904459
0.0029393877   0.99893871    0.0009844019
0.0030618622   0.99889451    0.0010303327
0.0031843367   0.99885031    0.0010768575
0.0033068112   0.99880612    0.0011239962
0.0034292856   0.99876193    0.0011717683
0.0035517601   0.99871774    0.0012201927
0.0036742346   0.99867355    0.0012692877
0.0037967091   0.99862936    0.0013190711
0.0039191836   0.99858518    0.0013695603
0.0040416581   0.99854099    0.0014207721
0.0041641326   0.99849681    0.0014727227
0.004286607   0.99845263    0.0015254279
0.0044090815   0.99840845    0.0015789029
0.004531556   0.99836427    0.0016331624
0.0046540305   0.99832009    0.0016882207
0.004776505   0.99827592    0.0017440915
0.0048989795   0.99823174    0.0018007881
0.005021454   0.99818757    0.0018583233
0.0051439285   0.9981434    0.0019167095
0.0052664029   0.99809923    0.0019759585
0.0053888774   0.99805506    0.0020360819
0.0055113519   0.99801089    0.0020970906
0.0056338264   0.99796672    0.0021589953
0.0057563009   0.99792255    0.0022218061
0.0058787754   0.99787839    0.002285533
0.0060012499   0.99783422    0.0023501853
0.0061237244   0.99779006    0.0024157721
0.0062461988   0.9977459    0.0024823021
0.0063686733   0.99770173    0.0025497837
0.0064911478   0.99765757    0.0026182248
0.0066136223   0.99761341    0.0026876332
0.0067360968   0.99756925    0.0027580162
0.0068585713   0.99752509    0.0028293808
0.0069810458   0.99748093    0.002901734
0.0071035203   0.99743677    0.002975082
0.0072259947   0.99739261    0.0030494311
0.0073484692   0.99734845    0.0031247873
0.0074709437   0.9973043    0.0032011562
0.0075934182   0.99726014    0.0032785433
0.0077158927   0.99721598    0.0033569536
0.0078383672   0.99717182    0.0034363923
0.0079608417   0.99712767    0.0035168639
0.0080833162   0.99708351    0.0035983731
0.0082057906   0.99703935    0.0036809241
0.0083282651   0.99699519    0.003764521
0.0084507396   0.99695104    0.0038491678
0.0085732141   0.99690688    0.0039348681
0.0086956886   0.99686272    0.0040216256
0.0088181631   0.99681856    0.0041094436
0.0089406376   0.9967744    0.0041983254
0.009063112   0.99673025    0.0042882739
0.0091855865   0.99668609    0.0043792922
0.009308061   0.99664193    0.0044713829
0.0094305355   0.99659777    0.0045645487
0.00955301   0.9965536    0.0046587921
0.0096754845   0.99650944    0.0047541154
0.009797959   0.99646528    0.0048505209
0.0099204335   0.99642112    0.0049480106
0.010042908   0.99637695    0.0050465866
0.010165382   0.99633279    0.0051462508
0.010287857   0.99628862    0.0052470048
0.010410331   0.99624445    0.0053488505
0.010532806   0.99620028    0.0054517893
0.01065528   0.99615611    0.0055558227
0.010777755   0.99611194    0.0056609522
0.010900229   0.99606777    0.0057671789
